|Disappointed 
0|One Simply Could Not Ask For More
1|Great for those that just want an e-reader
2|Love / Hate relationship
3|I LOVE ITGreat device for reading. 8 
4|One Simply Could Not Ask For More 28 
5|Definitely better than the previous generation 16 
6|Paperwhite voyage, no regrets! 16 
7|Great for those that just want an e-reader 19 
8|Give this to a book-loving-new-mommy-who-breastfeeds 34 
9|Trouble-free international shipping, and easy to convert ePub 9 
10|Great for those that just want an e-reader 18 
11|Liked the smaller size
12|Superb reading device - but which one's best for you
13|I love it!
14|Un plaisir
15|Works great and I love the built-in light
16|Trs utile
17|I had a Kindle before found it very easy to find what I needed to do
18|Seamless Reasing Experience
19|A great addition to the Kindle range
20|great kindle
21|Worth the money. Not perfect, but very very good for start to finish novels in good light
22|Kindle vs. Nook (updated)
23|Not the perfect do-it-all device, but very close to being the perfect e-reading device!
24|Worth the money. Not perfect, but very very good for start to finish novels in good light 11,952 of 12,233 
25|Worth the money. Not perfect, but very very good for start to finish novels in good light
26|Kindle vs. Nook (updated)
27|Not the perfect do-it-all device, but very close to being the perfect e-reading device!
28|Great
29|I've had 3!
30|Kindle Customer Service vs. Comcast
31|I love it
32|A hesistant buyer rejoices on his choice
33|Ruined my marriage
34|Not a long-lasting product!
35|Good device
36|Great
37|I like it
38|"Works great with one critical flaw. (significantly improved) 7\,379 """
39|This box is a GAME CHANGER for on demand content!
40|A review from a non-techie 11,058 
41|This box is a GAME CHANGER for on demand content!
42|A review from a non-techie 11,063 
43|Works great with one critical flaw. (significantly improved) 7,380 
44|This box is a GAME CHANGER for on demand content!
45|I like it
46|Works great with one critical flaw. (significantly improved)
47|This box is a GAME CHANGER for on demand content!
48|Great upgrade for aesthetics
49|Great case with minor design flaws
50|Major fan, didn't buy this because of protection, ...
51|Not all fabric or cloth.
52|She loves it
53|Great pop of color for a bland looking product!
54|Great look for Dot.
55|This is perfect. A lot of people were commenting that the ...
56|Great upgrade for aesthetics
57|Not good at all, the product is renewed but not said in the plateform; disappointed :(
58|Provides Excellent protection for my new tap that is out and about with me as we speak!!!
59|I also own a Echo and if you own a Echo you will love the Tap
60|Dead after 15 months
61|Not everything I expected...
62|Great case with minor design flaws
63|Major fan, didn't buy this because of protection, ...
64|Not all fabric or cloth.
65|She doesn't loves it
66|Not Great pop of color for a bland looking product!
67|Great look for Dot.
68|This is perfect. A lot of people were commenting that the ...
69|Great upgrade for aesthetics
70|Don't buy from this seller...
71|Provides Excellent protection for my new tap that is out and about with me as we speak!!!
72|I also own a Echo and if you own a Echo you will love the Tap
73|Great upgrade for aesthetics
74|The Extra Touch
75|Great case with minor design flaws
76|Not all fabric or cloth.
77|She loves it
78|Great pop of color for a bland looking product!
79|Great look for Dot.
80|Great controller with 2 major problems! Not recommended at this point in time...
81|Save your batteries by keeping remote in another room when not in use
82|Makes games fun.
83|Works great though and I know I can return if it ...
84|Great Controller
85|Save your batteries by keeping remote in another room when not in use
86|Great Controller
87|Works great though and I know I can return if it ...
88|Great Game Controller for Fire TV
89|and was a great surprise for the gamers in the family  
90|This needs to be way better for the amount I spent on it.
91|Great add-on if you own a
92|Makes games fun.
93|Five Stars, great
94|Doesn't respond to FireTV
95|Not good at all, the product is renewed but not said in the plateform; disappointed :(
96|Provides Excellent protection for my new tap that is out and about with me as we speak!!!
97|I also own a Echo and if you own a Echo you will love the Tap
98|Not good at all, the product is renewed but not said in the plateform; disappointed :(
99|Provides Excellent protection for my new tap that is out and about with me as we speak!!!
100|I also own a Echo and if you own a Echo you will love the Tap
101|Know what you are buying!!!!
102|Detailed Review of the Kindle
103|Good Value at 79 with a Few Nits
104|Not good at all, the product is renewed but not said in the plateform; disappointed :(
105|Provides Excellent protection for my new tap that is out and about with me as we speak!!!
106|I also own a Echo and if you own a Echo you will love the Tap
107|Honest Kindle Review
108|Honest Kindle Review
109|Simply gorgeous 3,
110|I wanted to like this tablet...ended up somewhat disappointed 3,
111|I am delighted.and should get several years out of this Big tablet esp w screen mirror . now google play is on it. !!
112|Keeps Getting Better, Especially for Comic Readers 2,
113|Great upgrade for aesthetics
114|The Extra Touch
115|Great case with minor design flaws
116|Major fan, didn't buy this because of protection, ...
117|Not all fabric or cloth.
118|She loves it
119|Great pop of color for a bland looking product!
120|Great look for Dot.
121|After considering the price to purchase 3 of them and checking out the apps my husband and I were pretty sure we would purchase 1,
122|Freetime makes me angry. So, so angry. 3,
123|Great value, OK performance, and a little shady price-gouging on SD cards. 2,
124|Simply gorgeous 3,
125|I wanted to like this tablet...ended up somewhat disappointed 3,
126|I am delighted.and should get several years out of this Big tablet esp w screen mirror . now google play is on it. !!
127|Keeps Getting Better, Especially for Comic Readers 2,
128|The best Echo yet, especially if you have elderly parents
129|Maybe I was expecting more...
130|Best Echo available!
131|Maybe I was expecting more...
132|Maybe I was expecting more
133|Yeehaw
134|Day 1 review: I liked my Echo. I like my Echo Show even more.
135|The resolution is just as good on the 10
136|Disappointed
137|Excellent refurbished HD 10 Good price
